name,acousticness_x,danceability_x,energy_x,instrumentalness_x,liveness_x,loudness_x,speechiness_x,tempo_x,valence_x,acousticness_y,danceability_y,energy_y,instrumentalness_y,liveness_y,loudness_y,speechiness_y,tempo_y,valence_y
Price Tag,0.0294,0.636,0.831,3.85e-06,0.272,-3.945,0.182,175.015,0.668,0.0294,0.636,0.831,3.85e-06,0.272,-3.945,0.182,175.015,0.668
Jerk It Out,0.0171,0.58,0.981,1.07e-05,0.386,-2.603,0.06,134.007,0.861,0.0171,0.58,0.981,1.07e-05,0.386,-2.603,0.06,134.007,0.861
Rather Be (feat. Jess Glynne),0.162,0.799,0.586,2.03e-06,0.193,-6.735,0.0377,120.97,0.549,0.162,0.799,0.586,2.03e-06,0.193,-6.735,0.0377,120.97,0.549
Baby Love,0.2,0.621,0.915,0.00332,0.0964,-5.224,0.0411,130.013,0.818,0.2,0.621,0.915,0.00332,0.0964,-5.224,0.0411,130.013,0.818
Bohemian Like You,0.00305,0.578,0.936,0.687,0.47,-5.761,0.0364,131.268,0.659,0.00305,0.578,0.936,0.687,0.47,-5.761,0.0364,131.268,0.659
High,0.028,0.646,0.85,7.21e-05,0.281,-5.145,0.043,116.999,0.518,0.028,0.646,0.85,7.21e-05,0.281,-5.145,0.043,116.999,0.518
Barbara Ann,0.19,0.581,0.669,0.0,0.243,-3.659,0.0385,78.073,0.926,0.19,0.581,0.669,0.0,0.243,-3.659,0.0385,78.073,0.926
LA Calling,0.0607,0.574,0.887,2.41e-06,0.334,-6.172,0.0565,136.057,0.622,0.0607,0.574,0.887,2.41e-06,0.334,-6.172,0.0565,136.057,0.622
Come On Eileen,0.519,0.435,0.652,0.0,0.129,-8.495,0.0404,108.097,0.806,0.519,0.435,0.652,0.0,0.129,-8.495,0.0404,108.097,0.806
San Francisco,0.0131,0.363,0.893,0.0,0.0825,-4.81,0.0584,93.041,0.37,0.0131,0.363,0.893,0.0,0.0825,-4.81,0.0584,93.041,0.37
Hit The Road Jack,0.0841,0.593,0.752,0.00308,0.197,-6.617,0.0313,172.087,0.935,0.0841,0.593,0.752,0.00308,0.197,-6.617,0.0313,172.087,0.935
Work This Body,0.0283,0.421,0.831,0.0,0.464,-5.128,0.106,134.184,0.488,0.0283,0.421,0.831,0.0,0.464,-5.128,0.106,134.184,0.488
I'm a Believer,0.534,0.519,0.772,1.21e-05,0.271,-6.784,0.0331,79.618,0.961,0.534,0.519,0.772,1.21e-05,0.271,-6.784,0.0331,79.618,0.961
Iko Iko (My Bestie),0.131,0.862,0.753,2.01e-06,0.077,-5.356,0.0625,105.039,0.827,0.131,0.862,0.753,2.01e-06,0.077,-5.356,0.0625,105.039,0.827
Walkin' On The Sun,0.456,0.732,0.973,0.0,0.154,-5.33,0.0319,123.292,0.967,0.456,0.732,0.973,0.0,0.154,-5.33,0.0319,123.292,0.967
Go Your Own Way,0.0219,0.597,0.812,0.00106,0.102,-12.062,0.0315,135.68,0.823,0.0219,0.597,0.812,0.00106,0.102,-12.062,0.0315,135.68,0.823
All That She Wants,0.00526,0.707,0.628,8.21e-05,0.104,-9.684,0.0877,187.548,0.87,0.00526,0.707,0.628,8.21e-05,0.104,-9.684,0.0877,187.548,0.87
Song Away,0.0276,0.639,0.72,0.0,0.113,-4.253,0.0284,131.797,0.921,0.0276,0.639,0.72,0.0,0.113,-4.253,0.0284,131.797,0.921
Gotta Go Home,0.223,0.74,0.945,0.116,0.356,-5.666,0.0314,131.644,0.975,0.223,0.74,0.945,0.116,0.356,-5.666,0.0314,131.644,0.975
Something That I Want,0.0123,0.551,0.834,0.000936,0.472,-5.882,0.0482,168.944,0.962,0.0123,0.551,0.834,0.000936,0.472,-5.882,0.0482,168.944,0.962
"Moves Like Jagger - Studio Recording From ""The Voice"" Performance",0.0117,0.722,0.761,0.0,0.315,-4.459,0.0475,128.044,0.624,0.0117,0.722,0.761,0.0,0.315,-4.459,0.0475,128.044,0.624
"Moves Like Jagger - Studio Recording From ""The Voice"" Performance",0.0117,0.722,0.761,0.0,0.315,-4.459,0.0475,128.044,0.624,0.0111,0.722,0.758,0.0,0.308,-4.477,0.0471,128.047,0.62
Heavy,0.00164,0.507,0.753,0.00087,0.168,-4.064,0.0339,179.948,0.968,0.00164,0.507,0.753,0.00087,0.168,-4.064,0.0339,179.948,0.968
Rock Around the Clock,0.267,0.806,0.657,0.000182,0.224,-11.574,0.158,89.492,0.702,0.267,0.806,0.657,0.000182,0.224,-11.574,0.158,89.492,0.702
Stronger (What Doesn't Kill You),0.046,0.562,0.939,0.0,0.112,-4.282,0.0475,116.044,0.684,0.046,0.562,0.939,0.0,0.112,-4.282,0.0475,116.044,0.684
I Will Wait,0.0155,0.477,0.776,0.00314,0.203,-5.056,0.0349,131.004,0.429,0.0155,0.477,0.776,0.00314,0.203,-5.056,0.0349,131.004,0.429
99 Red Balloons,0.187,0.474,0.57,0.0,0.106,-3.188,0.068,94.16,0.535,0.187,0.474,0.57,0.0,0.106,-3.188,0.068,94.16,0.535
Sister Of Pearl,0.0808,0.736,0.676,0.149,0.197,-7.28,0.0408,125.046,0.935,0.0808,0.736,0.676,0.149,0.197,-7.28,0.0408,125.046,0.935
So Lonely,0.0182,0.532,0.586,9.8e-06,0.0963,-7.503,0.179,77.705,0.737,0.0182,0.532,0.586,9.8e-06,0.0963,-7.503,0.179,77.705,0.737
Perfect Strangers,0.394,0.731,0.822,0.0,0.288,-5.305,0.0459,118.021,0.708,0.394,0.731,0.822,0.0,0.288,-5.305,0.0459,118.021,0.708
It's Just Gotta Be That Way,0.533,0.683,0.719,1.84e-05,0.112,-4.568,0.0299,118.731,0.907,0.533,0.683,0.719,1.84e-05,0.112,-4.568,0.0299,118.731,0.907
I Spy,0.377,0.628,0.886,8.65e-06,0.186,-4.253,0.0485,123.942,0.694,0.377,0.628,0.886,8.65e-06,0.186,-4.253,0.0485,123.942,0.694
Give It Up,0.0754,0.837,0.592,0.000251,0.0671,-14.264,0.0671,125.686,0.836,0.0754,0.837,0.592,0.000251,0.0671,-14.264,0.0671,125.686,0.836
On Our Way,0.00777,0.582,0.787,0.0,0.182,-5.923,0.0877,130.953,0.368,0.00777,0.582,0.787,0.0,0.182,-5.923,0.0877,130.953,0.368
Sweet About Me,0.164,0.682,0.724,0.0,0.301,-5.055,0.0306,132.051,0.491,0.164,0.682,0.724,0.0,0.301,-5.055,0.0306,132.051,0.491
Woo Hoo,0.732,0.566,0.811,0.638,0.596,-9.849,0.0435,127.944,0.961,0.732,0.566,0.811,0.638,0.596,-9.849,0.0435,127.944,0.961
Paint a Smile On Me - Radio Edit,0.0393,0.736,0.813,1.64e-06,0.164,-4.296,0.0853,118.968,0.933,0.0393,0.736,0.813,1.64e-06,0.164,-4.296,0.0853,118.968,0.933
The Game of Love - Main/Radio Mix,0.0776,0.597,0.93,0.000404,0.0566,-3.23,0.0477,119.788,0.693,0.0776,0.597,0.93,0.000404,0.0566,-3.23,0.0477,119.788,0.693
Beat Of My Drum,0.053,0.774,0.91,9.67e-06,0.095,-2.456,0.0722,120.02,0.881,0.053,0.774,0.91,9.67e-06,0.095,-2.456,0.0722,120.02,0.881
Stuck In The Middle With You,0.0934,0.795,0.564,0.000531,0.0631,-10.482,0.0392,124.166,0.961,0.0934,0.795,0.564,0.000531,0.0631,-10.482,0.0392,124.166,0.961
If You Wanna Stay,0.000459,0.543,0.946,0.000259,0.108,-3.888,0.0391,116.515,0.221,0.000459,0.543,0.946,0.000259,0.108,-3.888,0.0391,116.515,0.221
Summer Of '69,0.0157,0.508,0.725,1.26e-06,0.0995,-10.795,0.0344,138.934,0.741,0.0157,0.508,0.725,1.26e-06,0.0995,-10.795,0.0344,138.934,0.741
Lightning Bolt,0.0634,0.561,0.846,0.0,0.193,-4.48,0.0867,116.168,0.75,0.0634,0.561,0.846,0.0,0.193,-4.48,0.0867,116.168,0.75
American Pie,0.6,0.526,0.509,0.0,0.144,-10.893,0.0628,138.318,0.497,0.6,0.526,0.509,0.0,0.144,-10.893,0.0628,138.318,0.497
Pretoria Girls,0.00585,0.553,0.724,4.72e-05,0.366,-6.486,0.0359,128.024,0.383,0.00585,0.553,0.724,4.72e-05,0.366,-6.486,0.0359,128.024,0.383
Faith - Remastered,0.0094,0.887,0.48,3.58e-05,0.0662,-11.994,0.117,95.846,0.607,0.0094,0.887,0.48,3.58e-05,0.0662,-11.994,0.117,95.846,0.607
Cooler Than Me (feat. Big Sean),0.103,0.837,0.515,0.0,0.233,-4.065,0.0793,129.001,0.769,0.103,0.837,0.515,0.0,0.233,-4.065,0.0793,129.001,0.769
Town Called Malice,0.000855,0.534,0.943,0.0264,0.0697,-5.898,0.0845,101.754,0.823,0.000855,0.534,0.943,0.0264,0.0697,-5.898,0.0845,101.754,0.823
I Gotta Have It,0.269,0.533,0.964,6.29e-05,0.0642,-4.712,0.0878,156.149,0.812,0.269,0.533,0.964,6.29e-05,0.0642,-4.712,0.0878,156.149,0.812
Move Your Feet,0.046,0.747,0.904,0.106,0.203,-2.623,0.0803,118.877,0.846,0.046,0.747,0.904,0.106,0.203,-2.623,0.0803,118.877,0.846
Sweet Home Alabama,0.181,0.601,0.593,0.000441,0.121,-11.685,0.0257,97.784,0.902,0.181,0.601,0.593,0.000441,0.121,-11.685,0.0257,97.784,0.902
Restless Year,0.0383,0.704,0.845,2.03e-05,0.12,-9.516,0.0535,94.52,0.623,0.0383,0.704,0.845,2.03e-05,0.12,-9.516,0.0535,94.52,0.623
Waterloo,0.423,0.441,0.908,2.88e-06,0.325,-6.481,0.0425,147.597,0.808,0.423,0.441,0.908,2.88e-06,0.325,-6.481,0.0425,147.597,0.808
Ain't No Mountain High Enough - Stereo Version,0.27,0.674,0.794,2.47e-06,0.211,-7.361,0.0726,129.292,0.685,0.27,0.674,0.794,2.47e-06,0.211,-7.361,0.0726,129.292,0.685
Tongue Tied,0.00847,0.56,0.936,0.0,0.161,-5.835,0.0439,112.96,0.371,0.00847,0.56,0.936,0.0,0.161,-5.835,0.0439,112.96,0.371
Rock DJ - 2004 Mix,0.0229,0.709,0.768,0.0,0.417,-4.274,0.0324,103.036,0.869,0.0229,0.709,0.768,0.0,0.417,-4.274,0.0324,103.036,0.869
KU LO SA - A COLORS SHOW,0.307,0.649,0.655,0.0,0.22,-5.534,0.0652,92.9,0.793,0.307,0.649,0.655,0.0,0.22,-5.534,0.0652,92.9,0.793
Moi je joue,0.41,0.652,0.742,0.052,0.323,-9.687,0.0501,106.096,0.736,0.41,0.652,0.742,0.052,0.323,-9.687,0.0501,106.096,0.736
Cake By The Ocean,0.147,0.771,0.76,0.0,0.053,-5.459,0.0514,119.0,0.881,0.147,0.771,0.76,0.0,0.053,-5.459,0.0514,119.0,0.881
Think,0.164,0.683,0.659,0.0,0.248,-9.424,0.0412,109.952,0.919,0.164,0.683,0.659,0.0,0.248,-9.424,0.0412,109.952,0.919
You Can Call Me Al,0.126,0.777,0.725,0.0108,0.0917,-9.012,0.047,128.349,0.851,0.126,0.777,0.725,0.0108,0.0917,-9.012,0.047,128.349,0.851
Viva L'amour,0.259,0.721,0.811,0.0,0.0951,-6.871,0.0426,142.128,0.969,0.259,0.721,0.811,0.0,0.0951,-6.871,0.0426,142.128,0.969
Lets Twist Again,0.0698,0.634,0.744,0.0,0.0465,-5.062,0.041,162.4,0.967,0.0698,0.634,0.744,0.0,0.0465,-5.062,0.041,162.4,0.967
Smile,0.00143,0.632,0.639,0.0,0.221,-5.938,0.0259,95.506,0.733,0.00143,0.632,0.639,0.0,0.221,-5.938,0.0259,95.506,0.733
Walk Like an Egyptian,0.0117,0.716,0.828,2.1e-06,0.301,-13.065,0.104,103.155,0.771,0.0117,0.716,0.828,2.1e-06,0.301,-13.065,0.104,103.155,0.771
Sway,0.753,0.713,0.639,0.0,0.0878,-5.529,0.0313,125.959,0.737,0.753,0.713,0.639,0.0,0.0878,-5.529,0.0313,125.959,0.737
Can't Stand Me Now,0.0111,0.368,0.935,0.00201,0.0948,-3.204,0.0587,164.425,0.558,0.0111,0.368,0.935,0.00201,0.0948,-3.204,0.0587,164.425,0.558
Don't Go Breaking My Heart,0.179,0.73,0.858,1.54e-06,0.0611,-8.221,0.036,131.445,0.765,0.179,0.73,0.858,1.54e-06,0.0611,-8.221,0.036,131.445,0.765
All I Wanna Do,0.111,0.82,0.528,0.0186,0.257,-11.179,0.0321,120.091,0.931,0.111,0.82,0.528,0.0186,0.257,-11.179,0.0321,120.091,0.931
Reggae Night,0.301,0.801,0.757,8.25e-06,0.0708,-7.13,0.0369,109.366,0.962,0.301,0.801,0.757,8.25e-06,0.0708,-7.13,0.0369,109.366,0.962
Butterfly,0.146,0.718,0.658,0.0,0.202,-7.207,0.0664,108.103,0.804,0.146,0.718,0.658,0.0,0.202,-7.207,0.0664,108.103,0.804
The Look,0.0531,0.634,0.838,8.34e-06,0.0522,-5.363,0.0413,95.011,0.541,0.0531,0.634,0.838,8.34e-06,0.0522,-5.363,0.0413,95.011,0.541
Pencil Full of Lead,0.324,0.735,0.767,0.0,0.146,-6.536,0.116,106.132,0.833,0.324,0.735,0.767,0.0,0.146,-6.536,0.116,106.132,0.833
Sir Duke,0.16,0.588,0.568,0.0,0.0792,-9.766,0.0672,106.938,0.952,0.16,0.588,0.568,0.0,0.0792,-9.766,0.0672,106.938,0.952
Uh La La La,0.289,0.779,0.589,0.000535,0.331,-11.562,0.0893,92.308,0.815,0.289,0.779,0.589,0.000535,0.331,-11.562,0.0893,92.308,0.815
Fuck You,0.129,0.69,0.834,0.0,0.136,-5.79,0.0566,127.43,0.738,0.129,0.69,0.834,0.0,0.136,-5.79,0.0566,127.43,0.738
Fuck You,0.129,0.69,0.834,0.0,0.136,-5.79,0.0566,127.43,0.738,0.129,0.69,0.834,0.0,0.136,-5.79,0.0566,127.43,0.738
Build Me up Buttercup (Re-Recorded),0.158,0.707,0.814,2.72e-06,0.106,-7.364,0.0367,132.062,0.922,0.158,0.707,0.814,2.72e-06,0.106,-7.364,0.0367,132.062,0.922
Pack Up,0.488,0.712,0.775,0.0,0.7,-6.089,0.0572,134.902,0.917,0.488,0.712,0.775,0.0,0.7,-6.089,0.0572,134.902,0.917
Betty (Get Money),0.00524,0.723,0.772,1.15e-05,0.367,-6.784,0.0792,102.004,0.58,0.00524,0.723,0.772,1.15e-05,0.367,-6.784,0.0792,102.004,0.58
Dreaming,0.000527,0.615,0.887,0.0,0.0667,-2.924,0.0453,119.0,0.877,0.000527,0.615,0.887,0.0,0.0667,-2.924,0.0453,119.0,0.877
Dreaming,0.000527,0.615,0.887,0.0,0.0667,-2.924,0.0453,119.0,0.877,0.000457,0.624,0.878,0.0,0.0656,-2.934,0.0514,119.106,0.878
Daddy Cool,0.281,0.763,0.777,0.79,0.134,-6.932,0.0364,124.431,0.929,0.281,0.763,0.777,0.79,0.134,-6.932,0.0364,124.431,0.929
Animal,0.0117,0.763,0.721,7.69e-06,0.0752,-6.767,0.0986,118.049,0.657,0.0117,0.763,0.721,7.69e-06,0.0752,-6.767,0.0986,118.049,0.657
Johnny B. Goode,0.697,0.502,0.931,3.92e-06,0.281,-4.686,0.174,166.407,0.903,0.697,0.502,0.931,3.92e-06,0.281,-4.686,0.174,166.407,0.903
Sleeping in My Car - Single Version,0.0123,0.546,0.85,0.0,0.193,-4.315,0.0322,135.162,0.584,0.0123,0.546,0.85,0.0,0.193,-4.315,0.0322,135.162,0.584
Just Can't Get Enough,0.403,0.766,0.772,0.0584,0.183,-9.362,0.0353,128.168,0.919,0.403,0.766,0.772,0.0584,0.183,-9.362,0.0353,128.168,0.919
Two Princes,0.00162,0.543,0.912,2.1e-06,0.0565,-10.71,0.0601,103.731,0.836,0.00162,0.543,0.912,2.1e-06,0.0565,-10.71,0.0601,103.731,0.836
Karma Chameleon,0.231,0.668,0.473,0.0,0.115,-15.402,0.0336,91.976,0.962,0.231,0.668,0.473,0.0,0.115,-15.402,0.0336,91.976,0.962
Foundations,0.0982,0.565,0.912,0.0,0.0839,-4.036,0.056,84.49,0.881,0.0982,0.565,0.912,0.0,0.0839,-4.036,0.056,84.49,0.881
Relight My Fire - Single Version,0.0687,0.759,0.871,0.0,0.342,-7.034,0.0391,120.43,0.871,0.0687,0.759,0.871,0.0,0.342,-7.034,0.0391,120.43,0.871
Time to Pretend,8.74e-05,0.438,0.94,0.0777,0.3,-3.249,0.0452,100.99,0.421,8.74e-05,0.438,0.94,0.0777,0.3,-3.249,0.0452,100.99,0.421
I Wanna Dance with Somebody (Who Loves Me),0.207,0.709,0.824,0.000307,0.0888,-8.824,0.0453,118.814,0.867,0.207,0.709,0.824,0.000307,0.0888,-8.824,0.0453,118.814,0.867
We're from Barcelona,0.0984,0.59,0.93,0.00332,0.786,-4.259,0.0374,119.923,0.954,0.0984,0.59,0.93,0.00332,0.786,-4.259,0.0374,119.923,0.954
Girls Just Want to Have Fun,0.414,0.705,0.847,3.21e-06,0.406,-2.588,0.0361,120.527,0.743,0.414,0.705,0.847,3.21e-06,0.406,-2.588,0.0361,120.527,0.743
You Only Live Once,0.0238,0.63,0.908,0.592,0.116,-2.42,0.0326,120.522,0.968,0.0238,0.63,0.908,0.592,0.116,-2.42,0.0326,120.522,0.968
I Don't Feel Like Dancin',0.018,0.71,0.917,0.0,0.335,-3.385,0.0287,108.031,0.83,0.018,0.71,0.917,0.0,0.335,-3.385,0.0287,108.031,0.83
Lemon Tree,0.672,0.669,0.479,0.0,0.11,-8.849,0.0442,143.159,0.679,0.672,0.669,0.479,0.0,0.11,-8.849,0.0442,143.159,0.679
Movin' on Up,0.103,0.523,0.76,0.00068,0.0666,-12.437,0.0325,94.267,0.581,0.103,0.523,0.76,0.00068,0.0666,-12.437,0.0325,94.267,0.581
I Want You Back,0.29,0.639,0.548,9.68e-05,0.366,-13.534,0.0394,98.359,0.887,0.29,0.639,0.548,9.68e-05,0.366,-13.534,0.0394,98.359,0.887
Mr. Pitiful,0.175,0.76,0.714,0.0,0.0778,-7.134,0.0274,110.007,0.774,0.175,0.76,0.714,0.0,0.0778,-7.134,0.0274,110.007,0.774
Stayin' Alive - Remastered Version,0.0696,0.675,0.899,0.000139,0.33,-6.124,0.0418,103.683,0.91,0.0696,0.675,0.899,0.000139,0.33,-6.124,0.0418,103.683,0.91
Reflections,0.0201,0.682,0.681,0.0162,0.101,-5.435,0.0291,111.037,0.577,0.0201,0.682,0.681,0.0162,0.101,-5.435,0.0291,111.037,0.577
Reflections,0.0201,0.682,0.681,0.0162,0.101,-5.435,0.0291,111.037,0.577,0.114,0.648,0.594,0.0462,0.116,-7.027,0.0293,113.983,0.544
What You Know,0.000665,0.55,0.753,7.74e-06,0.0921,-4.003,0.0407,139.048,0.841,0.000665,0.55,0.753,7.74e-06,0.0921,-4.003,0.0407,139.048,0.841
"Could You Be Loved - 12"" Mix",0.274,0.874,0.793,0.000219,0.123,-7.979,0.0945,102.938,0.791,0.274,0.874,0.793,0.000219,0.123,-7.979,0.0945,102.938,0.791
Happiness In Liquid Form,0.00181,0.691,0.854,0.00762,0.333,-4.542,0.068,124.005,0.833,0.00181,0.691,0.854,0.00762,0.333,-4.542,0.068,124.005,0.833
S.O.B.,0.264,0.701,0.595,0.00421,0.449,-6.484,0.0447,109.991,0.115,0.264,0.701,0.595,0.00421,0.449,-6.484,0.0447,109.991,0.115
BED,0.0142,0.671,0.782,0.00221,0.333,-4.593,0.0341,123.989,0.618,0.0142,0.671,0.782,0.00221,0.333,-4.593,0.0341,123.989,0.618
You Never Can Tell - 1964 Single Version / Mono,0.72,0.573,0.837,3.24e-05,0.242,-10.224,0.0977,157.138,0.929,0.72,0.573,0.837,3.24e-05,0.242,-10.224,0.0977,157.138,0.929
Alright,0.000479,0.467,0.958,0.199,0.299,-4.808,0.0775,145.92,0.701,0.000479,0.467,0.958,0.199,0.299,-4.808,0.0775,145.92,0.701
A Little Less Conversation - JXL Radio Edit Remix,0.000135,0.578,0.97,0.202,0.173,-5.762,0.0485,114.99,0.689,0.000135,0.578,0.97,0.202,0.173,-5.762,0.0485,114.99,0.689
Strangers,0.739,0.564,0.636,0.0224,0.0807,-8.136,0.0418,101.913,0.218,0.739,0.564,0.636,0.0224,0.0807,-8.136,0.0418,101.913,0.218
Black Or White,0.177,0.767,0.895,0.0253,0.0683,-3.633,0.0871,114.789,0.884,0.177,0.767,0.895,0.0253,0.0683,-3.633,0.0871,114.789,0.884
You Make My Dreams,0.312,0.752,0.694,0.0348,0.0577,-5.385,0.062,167.263,0.869,0.312,0.752,0.694,0.0348,0.0577,-5.385,0.062,167.263,0.869
How Will I Know,0.201,0.832,0.544,0.000139,0.632,-12.697,0.0442,119.49,0.928,0.201,0.832,0.544,0.000139,0.632,-12.697,0.0442,119.49,0.928
Don't You Worry 'Bout A Thing,0.0551,0.712,0.636,0.0,0.0868,-11.542,0.0454,124.669,0.9,0.0551,0.712,0.636,0.0,0.0868,-11.542,0.0454,124.669,0.9
Hakuna Matata,0.617,0.408,0.313,1.18e-05,0.115,-18.09,0.137,170.013,0.725,0.617,0.408,0.313,1.18e-05,0.115,-18.09,0.137,170.013,0.725
Happy,0.286,0.652,0.757,0.0,0.0886,-6.819,0.153,159.911,0.962,0.286,0.652,0.757,0.0,0.0886,-6.819,0.153,159.911,0.962
In the Summertime (Re-Recorded),0.609,0.598,0.66,0.0,0.154,-8.948,0.151,165.92,0.938,0.609,0.598,0.66,0.0,0.154,-8.948,0.151,165.92,0.938
Twistin' The Night Away,0.164,0.535,0.678,0.0,0.0883,-7.809,0.0437,160.938,0.944,0.164,0.535,0.678,0.0,0.0883,-7.809,0.0437,160.938,0.944
Love Rollercoaster,0.224,0.61,0.889,2.6e-05,0.0529,-6.566,0.0905,115.1,0.491,0.224,0.61,0.889,2.6e-05,0.0529,-6.566,0.0905,115.1,0.491
Send Me on My Way,0.114,0.5,0.681,4.01e-05,0.139,-9.556,0.0672,119.46,0.745,0.114,0.5,0.681,4.01e-05,0.139,-9.556,0.0672,119.46,0.745
I Get Around,0.32,0.388,0.63,0.0,0.0738,-6.292,0.0453,145.931,0.774,0.32,0.388,0.63,0.0,0.0738,-6.292,0.0453,145.931,0.774
Ain't Too Proud To Beg,0.457,0.77,0.774,0.0,0.0752,-2.709,0.0445,119.471,0.943,0.457,0.77,0.774,0.0,0.0752,-2.709,0.0445,119.471,0.943
Love On Top,0.0848,0.652,0.749,0.0,0.604,-5.248,0.0886,94.103,0.651,0.0848,0.652,0.749,0.0,0.604,-5.248,0.0886,94.103,0.651
Beyond the Sea,0.723,0.521,0.516,0.0,0.257,-7.456,0.0369,136.483,0.569,0.723,0.521,0.516,0.0,0.257,-7.456,0.0369,136.483,0.569
Dream of Bombay,0.0155,0.719,0.599,0.00896,0.0526,-5.991,0.0453,119.971,0.429,0.0155,0.719,0.599,0.00896,0.0526,-5.991,0.0453,119.971,0.429
The Twist,0.202,0.533,0.638,0.0,0.0729,-7.13,0.0341,156.663,0.937,0.202,0.533,0.638,0.0,0.0729,-7.13,0.0341,156.663,0.937
Tequila (Re-Recorded),0.14,0.377,0.988,0.658,0.0483,-1.568,0.107,88.352,0.489,0.14,0.377,0.988,0.658,0.0483,-1.568,0.107,88.352,0.489
Once in a Lifetime,0.0623,0.646,0.88,0.157,0.355,-7.753,0.0637,116.916,0.802,0.0623,0.646,0.88,0.157,0.355,-7.753,0.0637,116.916,0.802
Here Comes The Sun - Remastered 2009,0.0339,0.557,0.54,0.00248,0.179,-10.484,0.0347,129.171,0.394,0.0339,0.557,0.54,0.00248,0.179,-10.484,0.0347,129.171,0.394
Send Me On My Way,0.125,0.5,0.704,1.79e-05,0.138,-8.797,0.0695,119.463,0.722,0.125,0.5,0.704,1.79e-05,0.138,-8.797,0.0695,119.463,0.722
"Signed, Sealed, Delivered (I'm Yours)",0.0534,0.675,0.597,0.0,0.0986,-11.329,0.0337,108.875,0.828,0.0534,0.675,0.597,0.0,0.0986,-11.329,0.0337,108.875,0.828
I'm a Believer - 2006 Remaster,0.707,0.526,0.775,2.05e-05,0.217,-6.05,0.0352,80.106,0.962,0.707,0.526,0.775,2.05e-05,0.217,-6.05,0.0352,80.106,0.962
Three Little Birds,0.0111,0.814,0.482,1.57e-06,0.0476,-10.493,0.0588,148.404,0.615,0.0111,0.814,0.482,1.57e-06,0.0476,-10.493,0.0588,148.404,0.615
Superstition - Single Version,0.038,0.633,0.634,0.0064,0.0385,-12.115,0.0725,100.499,0.872,0.038,0.633,0.634,0.0064,0.0385,-12.115,0.0725,100.499,0.872
Sweet Caroline,0.611,0.529,0.127,0.000109,0.237,-16.066,0.0274,63.05,0.578,0.611,0.529,0.127,0.000109,0.237,-16.066,0.0274,63.05,0.578
Jessie's Girl,0.165,0.727,0.834,0.0,0.105,-5.851,0.0496,131.7,0.816,0.165,0.727,0.834,0.0,0.105,-5.851,0.0496,131.7,0.816
Stayin' Alive,0.0322,0.703,0.826,0.00629,0.179,-7.179,0.0341,103.564,0.945,0.0322,0.703,0.826,0.00629,0.179,-7.179,0.0341,103.564,0.945
Take on Me,0.018,0.573,0.902,0.00125,0.0928,-7.638,0.054,84.412,0.876,0.018,0.573,0.902,0.00125,0.0928,-7.638,0.054,84.412,0.876
Piano Man,0.605,0.331,0.55,3.96e-06,0.192,-6.483,0.0272,177.734,0.429,0.605,0.331,0.55,3.96e-06,0.192,-6.483,0.0272,177.734,0.429
Africa,0.257,0.671,0.373,8.01e-05,0.0481,-18.064,0.0323,92.718,0.732,0.257,0.671,0.373,8.01e-05,0.0481,-18.064,0.0323,92.718,0.732
We Built This City,0.052,0.661,0.908,0.0,0.0708,-4.897,0.039,144.091,0.656,0.052,0.661,0.908,0.0,0.0708,-4.897,0.039,144.091,0.656
Kung Fu Fighting,0.0422,0.598,0.673,6.9e-05,0.289,-10.431,0.0693,102.034,0.59,0.0422,0.598,0.673,6.9e-05,0.289,-10.431,0.0693,102.034,0.59
I Want To Hold Your Hand - Remastered 2015,0.386,0.49,0.715,0.0,0.311,-5.549,0.0476,130.726,0.866,0.386,0.49,0.715,0.0,0.311,-5.549,0.0476,130.726,0.866
More Than a Feeling,0.00088,0.377,0.681,0.0023,0.0504,-8.039,0.0298,108.789,0.285,0.00088,0.377,0.681,0.0023,0.0504,-8.039,0.0298,108.789,0.285
Love Me Do - Remastered 2009,0.386,0.52,0.829,6.2e-05,0.227,-6.228,0.0806,147.997,0.744,0.386,0.52,0.829,6.2e-05,0.227,-6.228,0.0806,147.997,0.744
Start Me Up - Remastered 2009,0.0436,0.631,0.932,0.137,0.0918,-4.142,0.0354,122.429,0.971,0.0436,0.631,0.932,0.137,0.0918,-4.142,0.0354,122.429,0.971
Highway to Hell,0.061,0.574,0.913,0.00158,0.156,-4.793,0.133,115.728,0.423,0.061,0.574,0.913,0.00158,0.156,-4.793,0.133,115.728,0.423
Livin' On A Prayer,0.0778,0.532,0.887,0.000214,0.294,-3.757,0.0335,122.511,0.795,0.0778,0.532,0.887,0.000214,0.294,-3.757,0.0335,122.511,0.795
Daylight,0.102,0.57,0.798,0.000128,0.178,-4.92,0.0323,103.303,0.671,0.102,0.57,0.798,0.000128,0.178,-4.92,0.0323,103.303,0.671
Daylight,0.102,0.57,0.798,0.000128,0.178,-4.92,0.0323,103.303,0.671,0.83,0.508,0.43,0.000441,0.093,-9.475,0.0335,130.09,0.324
Daylight,0.102,0.57,0.798,0.000128,0.178,-4.92,0.0323,103.303,0.671,0.0149,0.566,0.564,0.0,0.104,-7.88,0.277,139.92,0.0667
Home - 2019 - Remaster,0.249,0.53,0.634,0.000622,0.0979,-5.759,0.0311,111.615,0.106,0.249,0.53,0.634,0.000622,0.0979,-5.759,0.0311,111.615,0.106
